Exam,Year,Subject,Reference Instructions,No.,Question,Option A,Option B,Option C,Option D,Correct Answer
Jamb,2010,Biology,,25,Chemosynthetic organisms are capable of manufacturing their food from simple inorganic substances through the process of,oxidation,denitrification,reduction,phosphorylation,D
Jamb,2010,Biology,,26,The part of the human gut that has an acidic content is the,stomach,duodenum,ileum,colon,A
Jamb,2010,Biology,,27,"I. Stomata → Spirogyro, II. Alveoli → Earthworm, III. Malpighian tubule → Mammal, IV. Contractile vacuole → Protozoa. Which structure is correctly matched?",III,II,I,IV,D
Jamb,2010,Biology,,28,A food chain always begins with a,consumer,decomposer,producer,primary consumer,C
Jamb,2010,Biology,,29,Mycorrhizae promote plant growth by,absorbing inorganic ions from the soil,protecting it from infection,helping it to utilize atmospheric nitrogen,serving as a growth regulator,A
Jamb,2010,Biology,,30,The barrier between maternal and foetal blood is the,placenta,liver,umbilical chord,uterine wall,A
Jamb,2010,Biology,,31,The blood component that has the greatest affinity for oxygen is the,lymphocytes,leucocytes,erythrocytes,thrombocytes,C
Jamb,2010,Biology,,32,Which of the following organisms is mainly found in the marine habitat?,Achatina,Tilapia,Dog fish,Tortoise,C
Jamb,2010,Biology,,33,The two halves of the pelvic girdle are joined together at the,public symphysis,ilium,pubis,obturator foramen,A
Jamb,2010,Biology,,34,"I. Adoption of nocturnal habits, II. Burrowing, III. Adjusting internal body temperature, IV. Possession of sweat pores. Which are desert adaptations?",I and IV only,II and III only,I and II only,"I, II and III only",C
Jamb,2010,Biology,,35,"Low annual rainfall, sparse vegetation, high diurnal temperatures and cold nights are characteristic features of the",tropical rainforest,desert,montane forest,guinea savanna,D
Jamb,2010,Biology,,36,The activity of an organism which affects the survival of another organism in the same habitat constitutes,an edaphic factor,an abiotic factor,a biotic factor,a physiographic factor,A
Jamb,2010,Biology,,37,The average number of individuals of a species per unit area of the habitat is the,population density,population frequency,population size,population distribution,C
Jamb,2010,Biology,,38,The vector for yellow fever is,Aedes mosquito,Anopheles mosquito,tsetse fly,blackfly,B
Jamb,2010,Biology,,39,The loss of soil through erosion can be reduced by,watering,crop rotation,manuring,irrigation,A
Jamb,2010,Biology,,40,The protozoan plasmodium falciparum is transmitted by,female Anopheles mosquitoes,female Aedes mosquitoes,female Culex mosquitoes,Female blackfly,A
Jamb,2010,Biology,,41,A dilute solution of phenylthiocarbamide tastes bitter to some people and is tasteless to others. This is an example of,taste bud variation,discontinuous variation,morphological variation,continuous variation,B
Jamb,2010,Biology,Use the diagram below to answer questions 42 and 43,42,In which plantation are all the trees between the height of 2-4m? (see image in page 11),III,II,I,IV,A
Jamb,2010,Biology,Use the diagram below to answer questions 42 and 43,43,Which of the following is a true feature of plantation ll? (see image in page 11),highest number of ~2m trees,highest number of trees,highest number of tall trees,height range between 2m and 6m,A
Jamb,2010,Biology,,44,Thyroxine and adrenalin are examples of hormones which control,blood grouping,tongue rolling,behavioural patterns,colour variation,C
Jamb,2010,Biology,,45,A pair of genes that control a trait is referred to as,an allele,recessive,dominant,a hybrid,A
Jamb,2010,Biology,,46,The chromosome number of a cell before and after the process of meiosis is represented as,2n → 2n,n → n,n → 2n,2n → n,D
Jamb,2010,Biology,,47,"If both parents are heterozygous for a trait, the probability that an offspring will be recessive for that trait is",3⁄4,1⁄2,1⁄4,1,C
Jamb,2010,Biology,,48,At what stage in the life history of a mammal is the sex of an individual set?,at adolescence,at puberty,at birth,at conception,B
Jamb,2010,Biology,,49,The main distinguishing features between the soldier termite and other members of the caste are,wings/small head/large thorax,wings/large thorax/small head,no wings/strong mandibles/large head,no wings/big head/no mandible,C
Jamb,2010,Biology,,50,The flippers of a whale and the fins of a fish are examples of,divergent evolution,coevolution,continuous variation,convergent evolution,A
